ID,homeDistrict,workDistrict,hangRoundPlace,cuisineID,dishID,numReview
21077,,,,1010 2009 ,,96
21097,,,2008 3007 3018 ,1002 2009 3006 ,,734
21119,1014 ,1022 ,1004 1022 ,1001 1002 1008 ,1008 1010 1034 ,208
21178,3019 ,,1019 2010 3018 ,1011 2009 4000 ,1009 1034 1014 ,212
21188,,,,2021 4000 ,,50
21251,,,,1004 1011 ,1032 ,94
21270,3007 ,2028 ,1003 2008 2010 ,1011 2009 4000 ,1034 1001 ,58
21301,,,,2001 3006 ,,98
21316,1013 ,1013 ,,1004 2006 3006 ,1004 1033 1036 ,16
21333,,,,1011 2009 ,,93
21344,3018 ,,1003 ,1011 2009 4000 ,1003 1014 1015 ,1692
21350,,,,1011 2004 2009 ,1034 ,118
21397,,,,1002 6000 ,,46
21437,3005 ,1022 ,1003 1022 ,1013 2009 3022 ,1010 1014 1001 ,60
21440,,,,1002 1004 ,,38
21476,1009 ,2010 ,1009 1014 2010 ,2009 3006 4000 ,1022 1033 1034 ,63
21503,2004 ,3019 ,1019 2004 2015 ,2002 2009 3010 ,1034 1072 1001 ,17
21521,,1003 ,1003 1019 2008 ,2001 2009 3006 ,1014 1032 1010 ,34
21574,1012 ,2008 ,1012 1018 2008 ,1002 1004 2009 ,1034 1001 ,22
21585,2005 ,1013 ,2005 2010 2019 ,1002 1004 2009 ,1019 1032 1010 ,26
21605,,,1019 1022 2010 ,2002 2009 4000 ,,108
21623,,,,1004 1011 ,1032 ,33
21643,,,,1002 1008 ,1032 ,35
21732,,,,1002 3010 ,1032 ,12
21761,3020 ,,1011 2026 3020 ,2004 2009 3010 ,1009 1032 1034 ,69
21786,,,,1004 2009 4001 ,,238
21787,,,,2009 6000 ,1032 ,11
21788,,,,1002 1010 ,,12
21826,8021 ,8021 ,,,,1372
21881,2010 ,2019 ,2008 2010 2019 ,1005 2004 2009 ,1028 1032 1001 ,138
21892,1004 ,1022 ,1019 1025 1026 ,1002 2009 3006 ,1003 1034 ,51
21915,1004 ,1022 ,,1002 1011 ,,21
21954,2009 ,,2004 2010 ,1004 2001 2009 ,1001 1032 1014 ,13
21967,,,,1004 ,,42
21982,,,2008 2010 2022 ,1018 2001 2009 ,1034 1014 1015 ,21
22003,3017 ,8011 ,,,1003 1022 1034 ,27
